#Data tag : 23v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/fb),recorded(/fb),avgpu,source
362437:8456,1:1,11/21/22 11:53:12,STABLE BEAMS,6800,0.000528905,0.000257391,65.9,HFET
362437:8456,2:2,11/21/22 11:53:35,STABLE BEAMS,6800,0.000528804,0.000443153,65.9,HFET
362437:8456,3:3,11/21/22 11:53:59,STABLE BEAMS,6800,0.000528355,0.000449188,65.8,HFET
362437:8456,4:4,11/21/22 11:54:22,STABLE BEAMS,6800,0.000527928,0.000458341,65.8,HFET
362437:8456,5:5,11/21/22 11:54:45,STABLE BEAMS,6800,0.000527581,0.000249791,65.7,HFET
362437:8456,6:6,11/21/22 11:55:09,STABLE BEAMS,6800,0.000527469,0.000408658,65.7,HFET
362437:8456,7:7,11/21/22 11:55:32,STABLE BEAMS,6800,0.000527688,0.000163767,65.8,HFET
362437:8456,8:8,11/21/22 11:55:55,STABLE BEAMS,6800,0.000526815,0.000467867,65.7,HFET
362437:8456,9:9,11/21/22 11:56:19,STABLE BEAMS,6800,0.000525786,0.000472646,65.6,HFET
362437:8456,10:10,11/21/22 11:56:42,STABLE BEAMS,6800,0.000525804,0.000476881,65.5,HFET
362437:8456,11:11,11/21/22 11:57:05,STABLE BEAMS,6800,0.000525694,0.000480841,65.5,HFET
362437:8456,73:73,11/21/22 12:21:11,STABLE BEAMS,6800,0.000365094,0.000358240,50.6,HFET
362437:8456,74:74,11/21/22 12:21:34,STABLE BEAMS,6800,0.000337932,0.000332039,42.1,HFET
362437:8456,75:75,11/21/22 12:21:57,STABLE BEAMS,6800,0.000336739,0.000331545,42.0,HFET
362437:8456,76:76,11/21/22 12:22:20,STABLE BEAMS,6800,0.000283922,0.000280319,41.9,HFET
362437:8456,77:77,11/21/22 12:22:44,STABLE BEAMS,6800,0.000272708,0.000269480,33.9,HFET
362437:8456,78:78,11/21/22 12:23:07,STABLE BEAMS,6800,0.000272660,0.000269396,34.0,HFET
362437:8456,79:79,11/21/22 12:23:30,STABLE BEAMS,6800,0.000273577,0.000238404,34.1,HFET
362437:8456,80:80,11/21/22 12:23:54,STABLE BEAMS,6800,0.000271898,0.000194558,34.0,HFET
362437:8456,81:81,11/21/22 12:24:17,STABLE BEAMS,6800,0.000270177,0.000266232,33.9,HFET
362437:8456,82:82,11/21/22 12:24:40,STABLE BEAMS,6800,0.000268430,0.000265065,33.6,HFET
362437:8456,83:83,11/21/22 12:25:04,STABLE BEAMS,6800,0.000267357,0.000264091,33.4,HFET
362437:8456,84:84,11/21/22 12:25:27,STABLE BEAMS,6800,0.000267861,0.000262586,33.3,HFET
362437:8456,85:85,11/21/22 12:25:50,STABLE BEAMS,6800,0.000267960,0.000264465,33.4,HFET
362437:8456,86:86,11/21/22 12:26:14,STABLE BEAMS,6800,0.000267625,0.000264446,33.4,HFET
362437:8456,87:87,11/21/22 12:26:37,STABLE BEAMS,6800,0.000266757,0.000263600,33.3,HFET
362437:8456,88:88,11/21/22 12:27:00,STABLE BEAMS,6800,0.000266734,0.000263571,33.2,HFET
362437:8456,89:89,11/21/22 12:27:24,STABLE BEAMS,6800,0.000267473,0.000264283,33.2,HFET
362437:8456,90:90,11/21/22 12:27:47,STABLE BEAMS,6800,0.000267283,0.000263595,33.5,HFET
362437:8456,91:91,11/21/22 12:28:10,STABLE BEAMS,6800,0.000266468,0.000263358,33.2,HFET
362437:8456,92:92,11/21/22 12:28:33,STABLE BEAMS,6800,0.000265755,0.000186386,33.2,HFET
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#1,1,31,31,0.011425236,0.009694182
#Check JSON:
#(run,ls) in json but not in results: []
